Image ID,Orientation,Side body area[mm2],Standard length[mm],Myotome length[mm],Myotome height[mm],Side yolk area[mm2],Eye area[mm2],Eye max diameter[mm],Eye min diameter[mm],Ventral body area[mm2],Ventral body length[mm],Ventral body width[mm],Ventral yolk area[mm],Number of lipids,Total lipid area [mm2]
LUS_0133,side,4.500187110376868,5.749251033356661,5.954480713807383,0.8423587037358438,1.1717125619517894,0.2525259900877137,0.5858997701549287,0.549110218741692,0,0,0,0,0,0
LUS_0134,side,4.566159491059775,5.98248671349798,6.1701967870809575,0.8080935683868588,1.1712014311661996,0.24955047872874472,0.5846164719336978,0.5438837097074103,0,0,0,0,0,0
LUS_0135,side,4.530590264784002,5.933022716512994,6.103213183228227,0.8102311246838118,1.143016219275107,0.2567793284106571,0.5858788497760828,0.5586069600133334,0,0,0,0,0,0
LUS_0136,ventral,0,0,0,0,0,0,0,0,1.9924752752913166,1.7514071325394354,1.4614951096377797,0,0,0
LUS_0137,ventral,0,0,0,0,0,0,0,0,1.9221887090497012,1.729287711576202,1.4271905398372031,0,0,0
LUS_0138,ventral,0,0,0,0,0,0,0,0,1.9317824111169617,1.7376170060157454,1.427411684797511,0,0,0
LUS_0139,ventral,0,0,0,0,0,0,0,0,1.93698347107438,1.7317817244535343,1.4367762023250248,0,0,0
LUS_0140,ventral,0,0,0,0,0,0,0,0,1.8750171699365856,1.6887044949681742,1.4258170738625267,0,0,0
LUS_0141,ventral,0,0,0,0,0,0,0,0,3.273489904077288,2.427917091601574,1.7382828955598275,1.8235431308807033,1,0.5167821821844738
LUS_0143,ventral,0,0,0,0,0,0,0,0,3.3692337629633022,2.5466630907958,1.6966724324161908,1.7682416267942584,1,0.5005866395000115
LUS_0144,ventral,0,0,0,0,0,0,0,0,3.360962146013141,2.5188856807580637,1.709336371263307,1.7532150706256724,1,0.5000858496829285
LUS_0145,side,4.588448444245671,5.932311242155949,5.99988686864582,0.837517599735898,1.2879583063316327,0.23966557442885697,0.5741669202954857,0.5317305971291966,0,0,0,0,0,0
LUS_0147,side,4.580772355126368,5.882255222533821,5.897272028420459,0.7940793222620048,1.2877666322870365,0.22034300526647255,0.5377725989756613,0.5220098018665978,0,0,0,0,0,0
LUS_0148,side,4.703288578965143,6.060325088083533,6.155431525365574,0.7915407854984894,1.384288204744389,0.23857942150947875,0.583214843568872,0.5211957725297091,0,0,0,0,0,0
LUS_0149,side,4.710919031407161,6.03706682581817,6.104642452308042,0.8279930077260215,1.3457434671096467,0.23389709842005824,0.5797231790592732,0.5139642660370739,0,0,0,0,0,0
LUS_0150,ventral,0,0,0,0,0,0,0,0,2.146312183787001,1.7003415978479095,1.6175967709148935,0,0,0
LUS_0151,ventral,0,0,0,0,0,0,0,0,2.132787997069664,1.6915366294480203,1.6170717636482328,0,0,0
LUS_0152,ventral,0,0,0,0,0,0,0,0,2.0985439893775326,1.6797059691182468,1.6028807526042792,0,0,0
LUS_0153,ventral,0,0,0,0,0,0,0,0,3.4335852544584604,2.459672893349623,1.7964895798795406,1.8645034454339415,1,0.4450705112062453
LUS_0154,ventral,0,0,0,0,0,0,0,0,3.4149301183580962,2.4613766632013934,1.7844745619963698,1.8040352212632496,1,0.4330587097364987
LUS_0156,side,4.6540557315103,5.842921881193165,6.075682372436057,0.8639110025434468,1.1643285475671088,0.2399120124861949,0.5589055986384954,0.5468934719882096,0,0,0,0,0,0
LUS_0157,side,4.626628088462136,5.751250745995256,5.963988829389298,0.8911925841942557,1.143025346610564,0.2555197561175966,0.5920547160947014,0.5498854679546031,0,0,0,0,0,0
LUS_0158,side,4.729730469783956,5.930519915531888,6.080687974398269,0.8435551712220839,1.2746415238999278,0.25609477825138505,0.5876049323461681,0.5552846937851664,0,0,0,0,0,0
LUS_0159,ventral,0,0,0,0,0,0,0,0,2.3070728692108697,1.7795337628974748,1.6629765819031437,0,0,0
LUS_0160,ventral,0,0,0,0,0,0,0,0,2.2758064146883084,1.7598739570103747,1.6563851533884104,0,0,0
LUS_0161,ventral,0,0,0,0,0,0,0,0,2.2795523225200887,1.7730027696081179,1.647782277097672,0.7494734552780385,0,0
LUS_0162,side,4.728114931408074,5.859619500330873,6.159955618063638,0.8690252372884987,1.2171028011792517,0.25481695128741066,0.6062544096554002,0.5357436596924389,0,0,0,0,0,0
LUS_0163,side,4.729776106461241,5.982664582087241,6.267983893933366,0.8697968621215556,1.240121941201705,0.24733253621270343,0.5913565871823537,0.5327238064959917,0,0,0,0,0,0
LUS_0164,ventral,0,0,0,0,0,0,0,0,3.5248062658821913,2.626958451259776,1.7263504993101637,1.947806254435567,1,0.5110531466770449
LUS_0167,side,4.909803671014321,6.222022554248786,6.269575772889804,0.8913666762496634,1.3152034026706583,0.2617354715637864,0.5982559248307484,0.5571536075113142,0,0,0,0,0,0
LUS_0168,side,4.897454386141054,6.298106440001273,6.33314565373676,0.8974081104544426,1.2929874681684177,0.2667828880714853,0.5977164633365883,0.5687381286256566,0,0,0,0,0,0
LUS_0169,ventral,0,0,0,0,0,0,0,0,2.319026006730615,1.7533742279443933,1.6931499097654112,0,0,0
LUS_0170,ventral,0,0,0,0,0,0,0,0,2.298592351365582,1.7296999383729474,1.7001638308135032,0.8269113001075983,0,0
LUS_0171,ventral,0,0,0,0,0,0,0,0,3.1618066207275475,2.50350922032258,1.6318987570501606,1.6360073601794831,1,0.4563082347015865
LUS_0173,ventral,0,0,0,0,0,0,0,0,3.045467422906985,2.492838967287834,1.5680611483231823,1.5527975550010302,1,0.4552823309905909
LUS_0174,side,4.416206496837378,5.750413499552583,5.895575956456753,0.7880564902511867,1.0263871268060716,0.25531895473754346,0.5992246427815646,0.5432831035493935,0,0,0,0,0,0
LUS_0175,side,4.474877009154717,5.924787580499993,6.0223968187631405,0.8851499735216913,1.0657807066383111,0.2371007931654512,0.5991971196399459,0.5041215454985901,0,0,0,0,0,0
LUS_0176,side,4.498854519400152,5.871584640755984,5.979205082943557,0.8254426641881724,1.0461204260640191,0.2429240331869917,0.6027933750139518,0.5135696987247594,0,0,0,0,0,0
LUS_0177,side,4.449092286488805,5.940886856634836,6.173647347877728,0.8378172433875497,1.0884438805779428,0.23512016137129088,0.5775933723004775,0.5186576031881515,0,0,0,0,0,0
LUS_0178,side,4.452578928633364,5.831518245979922,6.031742324468431,0.8197783739282902,1.068728835990909,0.23430782851562143,0.5786336507887836,0.5159702467248228,0,0,0,0,0,0
LUS_0179,ventral,0,0,0,0,0,0,0,0,2.1042343925276437,1.692487535242591,1.599995188055951,0,0,0
LUS_0180,ventral,0,0,0,0,0,0,0,0,2.103737895194707,1.7214543646276144,1.5700038565506718,0,0,0
LUS_0181,ventral,0,0,0,0,0,0,0,0,2.1166267942583734,1.731092556201846,1.5698989570546873,0,0,0
LUS_0182,ventral,0,0,0,0,0,0,0,0,2.101829170577597,1.7421991369521181,1.5503404451641294,0,0,0
LUS_0183,ventral,0,0,0,0,0,0,0,0,3.4062364071335365,2.447580279709611,1.7916319651344745,1.831962123119892,1,0.44936585700876813
LUS_0186,ventral,0,0,0,0,0,0,0,0,3.2507082598841603,2.4481400200372194,1.7069458629070997,1.7371583182619446,1,0.4501943064490282
LUS_0187,side,4.588165496846505,5.77708548482372,5.912236737803464,0.805077850564557,1.325836748478017,0.242631958452369,0.5762184897375011,0.5365302576611629,0,0,0,0,0,0
LUS_0188,side,4.555900366006152,5.867290513150817,5.987424960243922,0.8341432949769353,1.2491671306395524,0.23867069486404835,0.5727828896512313,0.5306877343940614,0,0,0,0,0,0
LUS_0189,side,4.5066218818740245,6.011416275944692,6.121539519113371,0.7917483180809519,1.2487290185376183,0.21726709321747703,0.5613691985600571,0.4931880729399079,0,0,0,0,0,0
LUS_0190,side,4.430874124916713,5.9693717476083945,6.036947374098266,0.7831827356234491,1.212037130000639,0.22267960314345434,0.5670072269020816,0.5002717965809542,0,0,0,0,0,0
LUS_0191,ventral,0,0,0,0,0,0,0,0,2.2073742015979487,1.7176404745434972,1.6495690777988323,0,0,0
LUS_0192,ventral,0,0,0,0,0,0,0,0,2.1519868478285753,1.6854673701806888,1.6362030284409537,0.7191699480323253,0,0
LUS_0193,ventral,0,0,0,0,0,0,0,0,2.1626050227787825,1.6908026751431107,1.6392250086666094,0.8902325954076143,1,0.2322119456972139
LUS_0194,ventral,0,0,0,0,0,0,0,0,3.399970811107804,2.545982226808042,1.7211135893139458,1.6509838373663606,1,0.4097462283372633
LUS_0196,ventral,0,0,0,0,0,0,0,0,3.6325833886586847,2.54289982862565,1.8328971938524212,1.7872372999702388,1,0.47505780545317183
LUS_0198,side,4.668805505608748,5.9622711783472315,6.109936436232507,0.9091999327243474,0.9503199131077664,0.26753132957895603,0.6191786649026624,0.5505462470827693,0,0,0,0,0,0
LUS_0199,side,4.610636996741541,5.829000186286179,5.981671046133668,0.8805026979229783,0.931700148775568,0.27919606429295096,0.6244872263150678,0.5695337405877055,0,0,0,0,0,0
LUS_0200,side,4.54951123118628,5.928823843568181,6.066477897529031,0.88484572826764,0.9687388760599118,0.27372879035423187,0.6224783559305987,0.56017370416864,0,0,0,0,0,0
